transaction_id,simulation_run_id,customer_id,account_number,account_type,transaction_type,amount,balance_before,balance_after,status,failure_reason,timestamp
TXN-7cb29688-acf8-495b-9784-f897814b5911,SIM-20260823-373,CUST-020,28196,SAVINGS,DEPOSIT,858,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.712368900
TXN-2e532c60-ea9c-4a69-91c9-694dd757f7db,SIM-20260823-373,CUST-011,85015,STUDENT,WITHDRAWAL,44,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.739796700
TXN-55ff78ab-f783-4046-9ba5-d4b95ba515fe,SIM-20260823-373,CUST-022,20266,SAVINGS,BALANCE_CHECK,147,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.768059700
TXN-fa34bad1-221e-4f73-80ff-c0e29dae2527,SIM-20260823-373,CUST-025,27943,SAVINGS,DEPOSIT,1745,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.780827
TXN-bbae059a-d5d5-4802-80af-c29c67ac13d0,SIM-20260823-373,CUST-003,34470,SAVINGS,WITHDRAWAL,298,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.827323600
TXN-bacf59ab-481c-4f2b-a41a-31c707683150,SIM-20260823-373,CUST-008,13931,SAVINGS,DEPOSIT,945,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.874719100
TXN-ba010d8d-9098-4220-bc7c-61b1efb2c07a,SIM-20260823-373,CUST-005,21862,SAVINGS,WITHDRAWAL,201,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.916239200
TXN-1a4f3222-b456-41a8-b6db-ded92909239a,SIM-20260823-373,CUST-024,40054,STUDENT,DEPOSIT,53,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.932263800
TXN-48c88832-42c0-419f-b7a7-f78da1704203,SIM-20260823-373,CUST-007,44923,CURRENT,WITHDRAWAL,69,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.959369800
TXN-1714d107-94a6-4e1c-ab42-469402f61b45,SIM-20260823-373,CUST-010,23235,SAVINGS,WITHDRAWAL,63,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.972856100
TXN-7f1cb5a3-11d9-4608-aefa-7be3c21ad816,SIM-20260823-373,CUST-009,28861,SAVINGS,WITHDRAWAL,154,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:57.991368800
TXN-807ce973-9eff-493b-9d03-e51bc5d4a58c,SIM-20260823-373,CUST-004,42419,SAVINGS,BALANCE_CHECK,84,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:58.015391100
TXN-d422057e-cd89-4290-aff9-628706ffce03,SIM-20260823-373,CUST-025,27943,SAVINGS,WITHDRAWAL,684,,,FAILED,ACCOUNT_NOT_FOUND,2026-08-23T12:17:58.036231800
